x,y
167.75139,-1328.03942
335.50278,-2656.07105
671.01196,-3779.79251
1006.52114,-4903.52177
1342.03032,-6129.39832
1677.5395,-7253.11978
2013.04228,-8376.84125
2348.55146,-9500.57051
2684.06064,-10828.60214
3019.56982,-12054.48648
3355.079,-13280.36302
3690.58178,-14404.08449
4026.09096,-15629.96883
4361.60014,-16855.84537
4697.10932,-17979.56684
5200.36989,-19307.60626
5535.87907,-20431.32773
6039.13964,-21657.20427
6542.40022,-22780.93353
7045.66079,-24108.96516
7548.92776,-25232.68662
8052.18833,-26560.72604
8555.4489,-27684.44751
9058.70947,-28910.33185
9561.97004,-30034.05332
10232.9884,-31157.77478
11071.75815,-32383.65133
11910.5279,-33609.53567
12749.29765,-34733.25714
13755.81879,-35959.13758
14594.58854,-36980.70396
15433.35829,-38104.42543
16607.63722,-39228.15079
17781.91615,-40454.03124
18956.19508,-41577.7527
20298.22541,-42701.47417
21640.25573,-43723.04056
22814.53466,-44744.60694
24156.56498,-45766.17333
25498.5953,-46583.42956
26840.63202,-47502.83696
28350.41373,-48524.40335
29524.69266,-49443.81466
31034.48077,-50261.06699
32544.26248,-51078.31932
34221.80199,-51997.73062
35899.34149,-52712.82787
37409.1296,-53325.76615
39086.6691,-54040.8634
40764.2086,-54653.80167
42441.7481,-55368.89892
44287.03899,-55981.83719
46300.09407,-56594.77936
48313.13636,-57207.71763
50493.94283,-57616.34575
52506.98511,-57922.81488
54520.02739,-58229.28402
56700.83386,-58331.443
58881.64033,-58535.75316
60726.93122,-58535.75316
62739.97351,-58535.75316
64920.77998,-58535.75316
67101.57365,-58331.443
71463.18659,-57616.34575
73476.22887,-57105.56255
69282.38012,-58127.12894
75489.27116,-56594.77936
77334.57485,-56186.15125
79179.86574,-55573.21298
81025.15663,-54858.11573
82702.69613,-54143.01848
84380.23563,-53530.0802
86057.77513,-53019.29701
87735.31463,-52304.19976
89077.35135,-51589.10251
90754.89086,-50669.6951
92096.91478,-49750.28379
93606.70289,-48933.03146
94613.22403,-48217.93421
95955.26075,-47196.36783
96961.78189,-46174.80144
98471.57,-45153.23506
99645.84253,-44131.66867
100987.87925,-43110.10228
102329.90318,-41884.22184
103671.9399,-40862.65545
105013.97662,-39738.93399
106188.24915,-38513.05354
107194.77029,-37287.1731
108201.29143,-36163.45164
109207.82537,-34937.57119
110214.34651,-33711.69075
111220.86765,-32485.8142
112059.6374,-31157.77478
112898.40715,-29829.73536
113904.92829,-28706.0139
114743.69804,-27377.98227
115582.46779,-26152.09793
116421.23755,-25028.37647
116924.50452,-23802.49992
117427.75869,-22474.4605
117931.02566,-21248.58395
118434.29263,-19920.54453
118769.79541,-18592.50511
119105.29819,-17264.47349
119273.06238,-15936.43407
119608.56516,-14608.40244
119944.06794,-13178.20794
120279.58352,-11748.01344
120447.33491,-10317.81894
120615.0863,-8887.62444
120950.60188,-7559.59282
121118.35327,-6129.39832
121286.10466,-4801.3589
121453.85605,-3473.32727
121621.60744,-2247.44293
121957.12302,-1123.72147
122124.87441,-408.62811
122128.67546,0