t,Znorm
0.87432,-0.09163
0.87432,-0.089
0.87432,-0.08637
0.87432,-0.08375
0.87432,-0.08112
0.87432,-0.0785
0.87432,-0.07587
1.0929,-0.07324
1.31148,-0.0704
1.53006,-0.06755
1.53006,-0.06471
1.53006,-0.06186
1.53006,-0.0588
1.53006,-0.05595
1.53006,-0.05311
1.53006,-0.05026
1.53006,-0.0472
1.53006,-0.04413
1.53006,-0.04107
1.53006,-0.03844
1.53006,-0.03538
1.74864,-0.03253
2.18579,-0.0299
2.40438,-0.02728
2.62295,-0.02443
3.06011,-0.02159
3.27869,-0.01874
3.49727,-0.0159
3.71585,-0.01305
4.37158,-0.01021
5.2459,-0.00758
5.90164,-0.00495
7.21312,-0.00298
8.74317,-0.00145
10.71039,-0.00057
13.11475,-0.00014
15.08197,-0.00014
17.26777,-0.00057
19.01639,-0.00189
21.20219,-0.0032
23.60655,-0.00408
25.57377,-0.00517
27.32241,-0.0067
29.28963,-0.00845
31.03825,-0.00977
33.00547,-0.01108
34.97268,-0.01305
36.9399,-0.0148
38.68852,-0.01633
40.87432,-0.0183
42.84153,-0.02049
45.02733,-0.02202
47.21312,-0.02399
49.61749,-0.02531
51.5847,-0.02728
53.77049,-0.02925
55.95629,-0.031
58.14208,-0.03275
60.32787,-0.03428
62.51366,-0.03603
64.2623,-0.03778
66.01093,-0.03932
68.19672,-0.04107
70.16394,-0.04326
72.13115,-0.04501
74.31695,-0.04654
76.50274,-0.04807
78.68853,-0.0496
80.21858,-0.05135
81.96722,-0.05289
84.15301,-0.05464
86.12023,-0.05639
87.86885,-0.05814
90.27322,-0.05967
92.24043,-0.06098
94.42623,-0.06252
96.39344,-0.06427
98.14208,-0.06646
100.10928,-0.06777
102.73224,-0.06908
105.13661,-0.07062
106.88525,-0.07237
108.85245,-0.07434
110.81967,-0.07499
113.22404,-0.07653
115.62842,-0.07784
117.81421,-0.07937
120.00001,-0.08068
121.96721,-0.08244
124.153,-0.08375
126.33879,-0.08572
128.30601,-0.08725
130.05465,-0.08856
132.45902,-0.08988
134.42623,-0.09141
136.39345,-0.09316
138.79782,-0.09469
140.76503,-0.09622
143.1694,-0.09776
145.57377,-0.09907
147.54099,-0.10082
149.72678,-0.10192
152.13115,-0.10279
154.31694,-0.1041
156.28415,-0.10564
158.9071,-0.10651
161.09289,-0.10782
163.06012,-0.10958
165.24592,-0.11067
167.21312,-0.1122
169.18032,-0.1133
171.5847,-0.11461
173.77049,-0.1157
175.95629,-0.1168
177.92348,-0.11789